,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,new.recap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl
1800,j,,2002-07-14,,,,,,b46c,wall on right v chute ,346,,"r .5, >5",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1801,j,,2002-07-15,,,,,,b46c,sb 4m v chute,346,,"r .7, .7",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1802,v,,2002-06-17,,,,,,y48b,4m ^ chute in sb,346,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1803,v,,2002-07-17,,,,,,w21a,3m v chute,347,,shedding,,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1804,j,,2002-04-11,,,,,,y46a,2m v chute,348,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1805,cn,,2002-07-14,,,,,,,bottom of chute,350,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,True,True,,
1809,j,,2002-04-20,,,,,,y26a,v chute,350,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1810,j,,2002-04-27,,,,,,y46a,bottom of chute on right,350,,,,nan,2002.0,,autotomized,sighting,sighting,True,False,False,True,False,False,False,False,False,False,False,True,,
1811,j,,2002-07-13,,,,,,b46c,Rs left side 5m v chute,350,,"r .2, >5",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1812,v,,2002-07-13,,,,,,w21a,Rs left side 5m v chute,350,,"r .1, >5",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1813,j,,2002-07-11,,,,,,b46c,left sb 3m v chute on right,352,,"r 1, 3",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
1815,v,,2002-07-11,,,,,,w21a,left sb 3m v chute on right,352,,"l .05, .05",,nan,2002.0,,autotomized,sighting,sighting,True,False,True,True,False,False,False,False,False,False,False,True,,
