,species,toes,date,sex,svl,tl,rtl_orig,mass,paint.mark,location,meters,newRecap,painted,misc,vial,year,rtl,autotomized,new.recap_orig,sighting,review_sex,review_species,review_painted,review_new.recap,review_rtl,forceMale,forceFemale,forceRecap,forceNew,forceSighting,drop_species,drop_morphometrics,tl_svl,mass_svl,lizMark,count,lizardNumber,lizNumber,dateMin,svlMin,yearMin,yearDiff,svlDiff,misclassified
6845,j,3-10-13-19,2005-07-18,m,39.0,53.0,0.0,1.8,w-bc,sb opposite wall v wall,85,new,painted,, 05-64,2005.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.358974358974359,0.04615384615384616,j3-10-13-19m,4.0,64.0,,,,,,,
181,j,1-6-15-19,2000-07-07,m,84.0,80.0,40.0,20.4,w48c,Rs lft flat R in sb,,,,,,2000.0,40.0,True,,,True,False,False,True,False,False,False,False,False,False,False,False,0.9523809523809524,0.24285714285714285,j1-6-15-19m,4.0,66.0,,,,,,,
6471,j,2-7-11-19,2003-06-28,f,29.0,35.0,0.0,0.7,o>a,lizard R,133,new,painted ,,toes in 03-39,2003.0,0.0,False,new,,True,False,True,False,False,False,False,False,False,False,False,False,1.206896551724138,0.02413793103448276,j2-7-11-19f,4.0,68.0,,,,,,,
107,j,5-15-20,2000-07-07,f,76.0,50.0,34.0,12.6,r48cw||t,slab,,,,,,2000.0,34.0,True,,,True,False,False,True,False,False,False,False,False,False,False,False,0.6578947368421053,0.16578947368421051,j5-15-20f,4.0,69.0,,,,,,,
5873,j,2-6-13-19,2001-07-11,m,75.0,75.0,40.0,13.6,w3a,large R right side of talus @ H3,177,recap,,,shed since last capture - T shed; B soon again,2001.0,40.0,True,recap,,True,False,False,False,False,True,False,False,False,False,False,False,1.0,0.18133333333333326,j2-6-13-19m,4.0,70.0,,,,,,,
6041,j,2-8-15-17,2001-07-27,m,48.0,64.0,0.0,4.0,r84a,3m up strream @ cave trail,45,new,,,toes in vial 01-72,2001.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3333333333333333,0.08333333333333333,j2-8-15-17m,4.0,71.0,,,,,,,
6697,j,3-8-12-16,2004-07-04,f,68.0,81.0,36.0,11.0,wMc,log 6m v 1falls,-6,new,painted,b and t ss,04 30,2004.0,36.0,True,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.1911764705882353,0.16176470588235295,j3-8-12-16f,4.0,72.0,,,,,,,
310,j,1-3-14-17,2000-07-05,f,77.0,94.0,0.0,15.6,w46c,1 falls,,,,,,2000.0,0.0,False,,,True,False,False,True,False,False,False,False,False,False,False,False,1.2207792207792207,0.20259740259740255,j1-3-14-17f,4.0,75.0,,,,,,,
7011,j,4-7-12-17,2006-05-20,m,65.0,92.0,0.0,8.8,w22b,2falls,390,new,painted,,-14-06,2006.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.4153846153846157,0.1353846153846154,j4-7-12-17m,4.0,77.0,,,,,,,
6404,j,1-10-12-17,2003-06-11,m,71.0,96.0,1.0,,b10c,SB @ 194,194,recap,painted,,,2003.0,1.0,True,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.352112676056338,,j1-10-12-17m,4.0,79.0,,,,,,,
296,j,3-13-17,2000-07-03,f,74.0,82.0,33.0,10.0,w40a,top S curve,,,,,,2000.0,33.0,True,,,True,False,False,True,False,False,False,False,False,False,False,False,1.108108108108108,0.13513513513513514,j3-13-17f,4.0,80.0,,,,,,,
7653,j,1-12,2011-06-19,f,74.0,76.0,31.0,10.7,g5b,CC/CCC,240,recap,yes,photoofventrumandhead,,2011.0,31.0,True,recap,,True,False,False,False,False,False,False,False,False,False,False,False,1.027027027027027,0.1445945945945946,j1-12f,4.0,83.0,,,,,,,
175,j,10-13-16,2000-06-26,m,75.0,79.0,40.0,15.6,w27t,4m v juniper xing,,,,,,2000.0,40.0,True,,,True,False,False,True,False,True,False,False,False,False,False,False,1.0533333333333332,0.20800000000000002,j10-13-16m,4.0,84.0,,,,,,,
6017,j,2-7-13-20,2001-07-17,f,42.0,57.0,0.0,2.7,r60a,wall v wall v juniper xing sb @ 85,85,new,,,toes in vial 01-61,2001.0,0.0,False,new,,True,False,False,False,False,False,False,False,False,False,False,False,1.3571428571428572,0.0642857142857143,j2-7-13-20f,4.0,85.0,,,,,,,
