,autotomized,date,drop_morphometrics,drop_species,forceFemale,forceMale,forceNew,forceRecap,forceSighting,location,mass,meters,misc,new.recap,new.recap_orig,paint.mark,painted,review_new.recap,review_painted,review_rtl,review_sex,review_species,rtl,rtl_orig,sex,sighting,species,svl,tl,toes,vial,year
50,TRUE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,chute,11.3,NA,not fully shed since last recapture [o|t mark still visible; added r51c!],recap,recap,r51c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,48,48,f,NA,j,72,64,1-7-13-16,NA,2000
51,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,chute,15.2,NA,shed since last recapture,recap,recap,r52c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,75,101,1-6-19,NA,2000
52,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs lft side 10m ^ chute,5.6,NA,NA,new,new,r53c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,60,87,8-15-20,NA,2000
53,TRUE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs lft side 10m ^ chute,16,NA,shed since last recapture,recap,recap,r54c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,-1,m,NA,j,85,91,4-13-20,NA,2000
54,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs lft side 2m ^ 2falls,6.1,NA,NA,new,new,r55c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,57,79,7-11-19,NA,2000
55,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs lft side 2m ^ 2falls,7.3,NA,NA,new,new,r56c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,60,79,7-12-19,NA,2000
56,FALSE,2000-03-18T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,slab?,7,NA,NA,new,new,r57c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,m,NA,j,60,85,7-12-20,NA,2000
57,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5m ^ H5,6,NA,NA,new,new,r58c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,60,80,6-13-20,NA,2000
58,TRUE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,slab,10.5,NA,shed since last recapture,recap,recap,r59c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,33,33,f,NA,j,68,75,5-7-12-20,NA,2000
59,FALSE,2000-03-19T00:00:00Z,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rs opp 2tripleR,10,NA,shed since last recapture,recap,recap,r60c,NA,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,f,NA,j,65,88,3-15-20,NA,2000
