,autotomized,date,location,mass,meters,misc,new.recap,paint.mark,painted,rtl,sex,sighting,species,svl,tl,toes,vial,year,tl_svl,mass_svl,age_class,myDrop,dropReason
36,FALSE,2000-03-18T00:00:00Z,3m^chute on Rs,6.5,,some loose scales on B just ^ T,new,r37,NA,0.0,f,NA,j,59.0,70.0,8-12-19,NA,2000,1.1864406779661016,0.11016949152542373,adult,,
37,FALSE,2000-03-18T00:00:00Z,pool v 2falls,4.2,,NA,new,r38c,NA,0.0,f,NA,j,55.0,75.0,8-12-20,NA,2000,1.3636363636363635,0.07636363636363637,juvenile,,
38,FALSE,2000-03-18T00:00:00Z,pool v 2falls,14.5,,NA,new,r39c,NA,0.0,f,NA,j,76.0,105.0,8-13-19,NA,2000,1.381578947368421,0.19078947368421054,adult,,
39,TRUE,2000-03-18T00:00:00Z,pool v 2falls,15.0,,NA,new,r40c,NA,6.0,f,NA,j,80.0,93.0,8-13-20,NA,2000,1.1625,0.1875,adult,,
40,FALSE,2000-03-18T00:00:00Z,pool v 2falls,5.6,,NA,new,r41c,NA,0.0,f,NA,j,53.0,69.0,8-14-19,NA,2000,1.3018867924528301,0.10566037735849056,juvenile,,
41,FALSE,2000-03-18T00:00:00Z,Rs opp slab,7.6,,shed since last recapture,recap,r42,NA,0.0,f,NA,j,61.0,76.0,2-14-17,NA,2000,1.2459016393442623,0.12459016393442622,adult,,
42,TRUE,2000-03-18T00:00:00Z,10m v wall on rt v cave trail,9.8,,NA,new,r43c,NA,3.0,f,NA,j,70.0,78.0,8-14-20,NA,2000,1.1142857142857143,0.14,adult,,
43,FALSE,2000-03-18T00:00:00Z,wall v cave trail,7.7,,shed since last recapture,recap,r44c,NA,0.0,m,NA,j,65.0,90.0,1-13-18,NA,2000,1.3846153846153846,0.11846153846153847,adult,,
44,TRUE,2000-03-18T00:00:00Z,1m v lizard R,9.0,,shed since last recapture,recap,r45c,NA,2.0,f,NA,j,67.0,70.0,5-10-11-20,NA,2000,1.044776119402985,0.13432835820895522,adult,,
45,FALSE,2000-03-18T00:00:00Z,sb at slab,9.0,,shed since last recapture,recap,r46c,NA,0.0,f,NA,j,67.0,91.0,2-14-19,NA,2000,1.3582089552238805,0.13432835820895522,adult,,
46,FALSE,2000-03-18T00:00:00Z,sb at slab,12.5,,shed since last recapture,recap,r47c,NA,0.0,f,NA,j,70.0,98.0,5-8-12-20,NA,2000,1.4,0.17857142857142858,adult,,
47,TRUE,2000-03-18T00:00:00Z,sb at slab,11.3,,not fully shed since last recapture [o.t mark still visible; added r48c!],recap,r48c,NA,27.0,f,NA,j,73.0,42.0,5-15-20,NA,2000,0.5753424657534246,0.1547945205479452,adult,,
48,FALSE,2000-03-18T00:00:00Z,Rs opp 2tripleR,3.2,,shed since last recapture [slight break on T at 22],recap,r49c,NA,0.0,f,NA,j,51.0,67.0,4-6-15-20,NA,2000,1.3137254901960784,0.06274509803921569,juvenile,,
49,FALSE,2000-03-18T00:00:00Z,chute,4.4,,NA,new,r50c,NA,0.0,m,NA,j,53.0,74.0,8-15-19,NA,2000,1.3962264150943395,0.08301886792452831,juvenile,,
50,TRUE,2000-03-18T00:00:00Z,chute,11.3,,not fully shed since last recapture [o|t mark still visible; added r51c!],recap,r51c,NA,48.0,f,NA,j,72.0,64.0,1-7-13-16,NA,2000,0.8888888888888888,0.15694444444444444,adult,,
51,FALSE,2000-03-18T00:00:00Z,chute,15.2,,shed since last recapture,recap,r52c,NA,0.0,f,NA,j,75.0,101.0,1-6-19,NA,2000,1.3466666666666667,0.20266666666666666,adult,,
52,FALSE,2000-03-18T00:00:00Z,Rs lft side 10m ^ chute,5.6,,NA,new,r53c,NA,0.0,m,NA,j,60.0,87.0,8-15-20,NA,2000,1.45,0.09333333333333332,adult,,
53,TRUE,2000-03-18T00:00:00Z,Rs lft side 10m ^ chute,16.0,,shed since last recapture,recap,r54c,NA,0.0,m,NA,j,85.0,91.0,4-13-20,NA,2000,1.0705882352941176,0.18823529411764706,adult,,
54,FALSE,2000-03-18T00:00:00Z,Rs lft side 2m ^ 2falls,6.1,,NA,new,r55c,NA,0.0,f,NA,j,57.0,79.0,7-11-19,NA,2000,1.3859649122807018,0.10701754385964912,adult,,
55,FALSE,2000-03-18T00:00:00Z,Rs lft side 2m ^ 2falls,7.3,,NA,new,r56c,NA,0.0,f,NA,j,60.0,79.0,7-12-19,NA,2000,1.3166666666666667,0.12166666666666666,adult,,
56,FALSE,2000-03-18T00:00:00Z,slab?,7.0,,NA,new,r57c,NA,0.0,m,NA,j,60.0,85.0,7-12-20,NA,2000,1.4166666666666667,0.11666666666666667,adult,,
57,FALSE,2000-03-19T00:00:00Z,5m ^ H5,6.0,,NA,new,r58c,NA,0.0,f,NA,j,60.0,80.0,6-13-20,NA,2000,1.3333333333333333,0.1,adult,,
58,TRUE,2000-03-19T00:00:00Z,slab,10.5,,shed since last recapture,recap,r59c,NA,33.0,f,NA,j,68.0,75.0,5-7-12-20,NA,2000,1.1029411764705883,0.15441176470588236,adult,,
59,FALSE,2000-03-19T00:00:00Z,Rs opp 2tripleR,10.0,,shed since last recapture,recap,r60c,NA,0.0,f,NA,j,65.0,88.0,3-15-20,NA,2000,1.353846153846154,0.15384615384615385,adult,,
60,TRUE,2000-03-19T00:00:00Z,wall rt side 5m ^ 2tripleR,11.0,,shed since last recapture,recap,r61c,NA,9.0,f,NA,j,72.0,89.0,3-15-16,NA,2000,1.2361111111111112,0.1527777777777778,adult,,
61,TRUE,2000-03-19T00:00:00Z,pyramid R,16.8,,shed since last recapture,recap,r62c,NA,25.0,m,NA,j,87.0,99.0,4-13-14-16,NA,2000,1.1379310344827587,0.19310344827586207,adult,,
62,FALSE,2000-03-19T00:00:00Z,pyramid R,5.3,,NA,new,r63c,NA,0.0,f,NA,j,55.0,78.0,6-14-19,NA,2000,1.4181818181818182,0.09636363636363636,juvenile,,
63,FALSE,2000-03-19T00:00:00Z,pyramid R or pool?,8.3,,NA,new,r64c,NA,0.0,f,NA,j,60.0,81.0,6-14-20,NA,2000,1.35,0.13833333333333334,adult,,
64,FALSE,2000-03-19T00:00:00Z,oakR,6.0,,NA,new,r65c,NA,0.0,m,NA,j,58.0,81.0,6-15-29,NA,2000,1.396551724137931,0.10344827586206896,adult,,
65,FALSE,2000-03-19T00:00:00Z,3m v chute,10.0,,shed since last recapture,recap,r66c,NA,0.0,f,NA,j,70.0,96.0,5-7-13-20,NA,2000,1.3714285714285714,0.14285714285714285,adult,,
66,FALSE,2000-03-19T00:00:00Z,Rs opp 2tripleR,4.6,,NA,new,r67c,NA,0.0,f,NA,j,53.0,75.0,6-15-20,NA,2000,1.4150943396226414,0.08679245283018867,juvenile,,
67,TRUE,2000-03-19T00:00:00Z,bottom S surve,3.2,,shed since last recapture,recap,r68c,NA,23.0,f,NA,j,46.0,53.0,10-15-18,NA,2000,1.1521739130434783,0.06956521739130435,juvenile,,
68,FALSE,2000-03-19T00:00:00Z,slab,15.0,,shed since last recapture,recap,r69c,NA,0.0,m,NA,j,86.0,115.0,5-7-12-19,NA,2000,1.3372093023255813,0.1744186046511628,adult,,
69,FALSE,2000-03-19T00:00:00Z,sb at slab,6.5,,NA,new,r70c,NA,0.0,f,NA,j,58.0,84.0,10-14-19,NA,2000,1.4482758620689655,0.11206896551724138,adult,,
70,FALSE,2000-03-19T00:00:00Z,root xing,14.8,,shed since last recapture,recap,r71c,NA,0.0,m,NA,j,87.0,118.0,5-15-19,NA,2000,1.3563218390804597,0.17011494252873563,adult,,
71,TRUE,2000-03-19T00:00:00Z,pine xing,9.3,,shed since last recapture,recap,r72c,NA,37.0,m,NA,j,72.0,75.0,5-10-13-16,NA,2000,1.0416666666666667,0.12916666666666668,adult,,
72,FALSE,2000-03-19T00:00:00Z,wall v wall v pine xing,5.5,,NA,new,r73c,NA,0.0,f,NA,j,56.0,78.0,10-14-20,NA,2000,1.3928571428571428,0.09821428571428571,adult,,
73,FALSE,2000-03-19T00:00:00Z,wall at H5,6.5,,[remarked to 1-9-13-16 on 19III00 (see 17III00 and 9VII99) since 1-13-16 was used 2x],recap,r27c,NA,0.0,f,NA,j,50.0,76.0,1-9-13-16,NA,2000,1.52,0.13,juvenile,,
74,FALSE,2000-03-20T00:00:00Z,root xing,7.5,,NA,NA,r74c,NA,0.0,m,NA,j,62.0,81.0,10-15-19,NA,2000,1.3064516129032258,0.12096774193548387,adult,,
75,TRUE,2000-03-20T00:00:00Z,root xing,6.7,,NA,NA,r75c,NA,0.0,f,NA,j,58.0,58.0,10-16,NA,2000,1.0,0.11551724137931035,adult,,
76,FALSE,2000-03-20T00:00:00Z,5m^2falls on left slope,5.5,,NA,NA,r77c,NA,0.0,f,NA,j,55.0,73.0,1-6-13-17,NA,2000,1.3272727272727274,0.1,juvenile,,
